index,substanceUsed,avgAmountUsed,avgAmountUsedUnit,amountUsed,measuringMethod,measuringTime,measuringDevice,refusedTesting,dateOfOffense,timeOfOffense,placeOfOffense,citySize,placeDetails,typeOfRoad,vehicleModel,vehicleType,checkedBy,reasonForCheck,reasonForCheckCategory,licenseStatus,lawBroken,note,sentence
95214574,alcohol,0.58,mg/l,0.64 mg/l; 0.55 mg/l; 0.54 mg/l,breath; breath; breath,03:52; 04:24; 04:54,"AlcoQuant 6020 plus, výrobné číslo A409530",False,01.01.2022,03:50,Modrý Kameň,1624,pri budove SAD,class_II,VW Golf,car,hliadkou ODI OR PZ Veľký Krtíš,zastavená a kontrolovaná,traffic_check,valid,,Vozidlo malo evidenčné číslo VK 823CM a smer jazdy bol z mesta Modrý Kameň do mesta Veľký Krtíš.,"- dňa 01.01.2022 v čase o 03.50 h viedla pod vplyvom alkoholu osobné motorové vozidlo VW Golf, evidenčné číslo VK 823CM, v meste Modrý Kameň po ceste II/527, v smere jazdy z mesta Modrý Kameň do mesta Veľký Krtíš, kde bola pri budove SAD zastavená a kontrolovaná hliadkou ODI OR PZ Veľký Krtíš, pričom sa dobrovoľne podrobila dychovej skúške na zistenie prítomnosti alkoholu v dychu prístrojom AlcoQuant 6020 plus, výrobné číslo A409530, kde dňa 01.01.2022 v čase o 03.52 h. jej bola nameraná hodnota 0,64 mg/l vydychovaného etanolu, čo je v prepočte 1,33 promile alkoholu v dych, opakovane v čase o 04.24 h jej bola nameraná hodnota 0,55 mg/l vydychovaného etanolu., čo je v prepočte 1,15 promile alkoholu v dych a následne v čase o 04.54 h. jej bolo nameraných 0,54 mg/l vydychovaného etanolu, čo je v prepočte 1,13 promile alkoholu v dychu,"
95255832,alcohol,0.74,mg/l,0.74 mg/l,breath,,,False,01.01.2022,03:25,Tesárske Mlyňany,,ulici Milana Rastislava Štefánika,urban,Seat Altea,car,Obvodné oddelenie Policajného zboru Zlaté Moravce,Kontrola vozidla a vodiča,traffic_check,valid,,Vozidlo malo evidenčné číslo LV-XXX EK.,"že :  po predchádzajúcom požití väčšieho množstva alkoholu, v čase približne o 3,25 hodine dňa 1. januára 2022, viedol po ulici Milana Rastislava Štefánika v obci Tesárske Mlyňany, osobné motorové vozidlo značky Seat Altea s evidenčným číslom LV-XXX EK, kde bol zastavený a kontrolovaný príslušníkmi motorizovanej hliadky Obvodného oddelenia Policajného zboru Zlaté Moravce, ako aj následne podrobený dychovej skúške na zistenie požitia alkoholu, ktorou bolo u neho zistené množstvo 0,74 mg/l alkoholu v dychu,"
95309650,methamphetamine; amphetamine,,,198.05 ng/ml; 33.56 ng/ml,blood; blood,10:30; 10:30,,False,13.05.2021,09:50,Smižany,,"na ulici Staničnej, v smere jazdy od železničnej stanice, na odstavnej ploche pri bytovom dome s popisným číslom 6",urban,Dacia Logan,car,policajnou hliadkou,javil známky požitia omamných a psychotropných látok,suspected_intoxication,valid,,"Podľa znaleckého posudku z odvetvia psychiatria mal v čase jazdy hladinu pervitínu v tele jednoznačne nad toxickým limitom, v dôsledku čoho jeho psychické a fyzické funkcie boli v stave vylučujúcom viesť motorové vozidlo.",", ž e  dňa 13. mája 2021 v čase okolo 09.50 hod., v obci Smižany, okres Spišská Nová Ves, na ulici Staničnej, v smere jazdy od železničnej stanice, po predchádzajúcom požití metamfetamínu (pervitínu), viedol osobné motorové vozidlo továrenskej značky Dacia Logan, evidenčného čísla I. XXXDD, kde bol na odstavnej ploche pri bytovom dome s popisným číslom 6 zastavený a kontrolovaný policajnou hliadkou, nakoľko počas policajnej kontroly javil známky požitia omamných a psychotropných látok, bol mu v čase o 10.30 hod. uvedeného dňa odobratý biologický materiál krv a moč, pričom imunochromatografickým skríningom mu bola v krvi zistená koncentrácia 33,56 ng/ml amfetamínu a 198,05 ng/ml metamfetamínu, pričom metamfetamín a amfetamín sú podľa zákona č. 139/1998 Z. z. o omamných látkach, psychotropných látkach a prípravkov v znení neskorších predpisov zaradené do II. skupiny psychotropných látok a podľa znaleckého posudku z odvetvia psychiatria mal v čase jazdy hladinu pervitínu v tele jednoznačne nad toxickým limitom, v dôsledku čoho jeho psychické a fyzické funkcie boli v stave vylučujúcom viesť motorové vozidlo,"
95331065,alcohol,0.26,mg/l,0.26 mg/l,breath,,,False,04.01.2022,10:11,Plavnica,,"na križovatke ciest I/68 a III/3138 v smere od obce Malý Lipník, na odstavnej ploche pri Coop Jednote",class_I,anonymized,car,hliadkou ODI Stará Ľubovňa,,traffic_check,banned,,"Zákaz činnosti viesť motorové vozidlá na dobu 12 mesiacov, ktorý plynul od 13.09.2021 do 13.09.2022, bol obvinenému uložený rozhodnutím Okresného riaditeľstva PZ v Starej Ľubovni, Okresným dopravným inšpektorátom sp. zn. OR PZ-SL-ODI2-191/2021-P zo dňa 22.12.2021, ktoré nadobudlo právoplatnosť dňa 22.12.2021.","dňa 04.01.2022 v čase okolo 10.11 hod. pod vplyvom alkoholu v množstve 0,26 mg na liter vydýchnutého vzduchu (v prepočte 0,54 promile) viedol osobné motorové vozidlo zn. U. XXX, EČ: SL XXX AU na križovatke ciest I/68 a III/3138 v obci Plavnica, okres Stará Ľubovňa v smere od obce Malý Lipník, kde na odstavnej ploche pri Coop Jednote v obci Plavnica bol kontrolovaný hliadkou ODI Stará Ľubovňa, a to aj napriek tomu, že mu rozhodnutím Okresného riaditeľstva PZ v Starej Ľubovni, Okresným dopravným inšpektorátom sp. zn. OR PZ-SL-ODI2-191/2021-P zo dňa 22.12.2021, ktoré nadobudlo právoplatnosť dňa 22.12.2021 bol uložený zákaz činnosti viesť motorové vozidlá na dobu 12 mesiacov, ktorý plynul od zadržania vodičského preukazu dňa 13.9.2021, pričom uložený zákaz činnosti mal takto trvať do 13.09.2022, o čom mal obvinený preukázateľne vedomosť"
114902217,cannabis,44.5,ng/ml,7.00 ng/ml; 82.00 ng/ml,blood; blood,23:45; 23:45,,False,19.11.2021,21:50,anonymized,,"po ceste II/487 z centra mesta Č. do obce D., okres Č., kde pri P. A. v Č.",class_II,Škoda Octavia,car,OO PZ Čadca,"Kontrolovaný hliadkou OO PZ Čadca, nakoľko javil známky požitia omamných a psychotropných látok",suspected_intoxication,valid,,Vodič sa podrobil dychovej skúške na zistenie alkoholu s negatívnym výsledkom a odberu moču v B. nemocnici s poliklinikou Č.,"dňa 19.11.2021 okolo 21:50 h viedol osobné motorové vozidlo zn. Škoda Octavia, ev.č.: K. XXX K., po ceste II/487 z centra mesta Č. do obce D., okres Č., kde pri P. A. v Č. bol kontrolovaný hliadkou OO PZ Čadca, podrobil sa dychovej skúške na zistenie alkoholu vo vydychovanom vzduchu s negatívnym výsledkom a nakoľko javil známky požitia omamných a psychotropných látok, podrobil sa odberu biologického materiálu - krvi a moču v B. nemocnici s poliklinikou Č. dňa 19.11.2021 o 23:45 h a následným znaleckým skúmaním bolo zistené, že vozidlo viedol pod vplyvom návykových látok, a to ? 9-tetrahydrokanabinolu v koncentrácii 7 ng/ml a 11-nor-?9-tetrahydrokanabinol-9-karboxylovej kyseliny v koncentrácii 82 ng/ml v krvi,"
107266096,methamphetamine;amphetamine;cannabis,,,75.72 ng/ml;9.31 ng/ml;1.34 ng/ml,blood;blood;blood,,,False,10.01.2022,04:36,Gerlachov,,Mlynská ulica v smere na ulicu Cintorínsku,urban,Renault Clio,car,Obvodné oddelenie Policajného zboru vo Svite,porušenia pravidiel cestnej premávky,traffic_violation,banned,§ 22 ods. 1 písm. f) zákona 372/1990 Zb.,"Zákaz vedenia motorových vozidiel bol uložený rozhodnutím Okresného dopravného inšpektorátu Poprad zo dňa 27.10.2021, pod spisovou značkou ORPZ-PP-ODI2-329/2021-P, na 8 mesiacov od 18.8.2021 do 18.04.2022.","dňa 10.01.2022 v čase o 04:36 hod. viedol osobné motorové vozidlo továrenskej značky Renault Clio, evidenčného čísla J., v obci Gerlachov, okres Poprad, po miestnej komunikácii označenej ako ulica Mlynská v smere na ulicu Cintorínsku, kde bol z dôvodu porušenia pravidiel cestnej premávky s vozidlom na ulici Cintorínskej v čase o 04:37 hod. dňa 10.01.2022 zastavený za použitia svetelného výstražného znamenia doplneného svetelným nápisom „STOP"" na služobnom motorovom vozidle hliadkou Obvodného oddelenia Policajného zboru vo Svite, pričom vykonanou kontrolou a lustráciou v informačných systémoch Ministerstva vnútra Slovenskej republiky v čase o 04:45 hod. dňa 10.01.2022 bolo zistené, že vodič K. L. viedol osobné motorové vozidlo továrenskej značky Renault Clio, evidenčného čísla J. aj napriek tomu, že má uložené závažné opatrenie spočívajúce v zákaze vedenia motorových vozidiel rozhodnutím Okresného dopravného inšpektorátu Poprad zo dňa 27.10.2021, pod spisovou značkou ORPZ-PP-ODI2-329/2021-P, ktorý nadobudol právoplatnosť dňa 27.10.2021 a ktorým má právoplatne uložený trest zákazu činnosti viesť motorové vozidlá na 8 (osem) mesiacov a to od 18.8.2021 do 18.04.2022 za priestupok podľa § 22 ods. 1 písm. f) zákona 372/1990 Zb. o priestupkoch v znení neskorších predpisov, pričom toxikologickou analýzou po odobratí biologického materiálu obvinenému bolo zistená pozitívna hodnota psychoaktívnych látok - metamfetamínu v koncentrácii 75,72 ng/ml, amfetamínu v koncentrácii 9,31 ng/ml, delta-9- tetrahydrokanabinolu (THC) v koncentrácii 1,34 ng/ml,"
95401707,alcohol,0.86,mg/l,0.84 mg/l; 0.89 mg/l,breath; breath,09:06; 09:28,AlcoQuant 6020 plus,False,01.01.2022,09:05,anonymized,,pri obecnom úrade,,Kia Rio,car,Obvodného oddelenia Policajného zboru Šurany,bol zastavený a kontrolovaný hliadkou,traffic_check,valid,,Vozidlo malo evidenčné číslo R.-XXXPF a merací prístroj AlcoQuant 6020 plus mal výrobné číslo A-408917.,"dňa 01.01.2022 v čase o 09.05 hod. viedol v obci M. pri obecnom úrade osobné motorové vozidlo značky Kia Rio, evidenčného čísla R.-XXXPF, pričom bol zastavený a kontrolovaný hliadkou Obvodného oddelenia Policajného zboru Šurany, ktorou bol vyzvaný na podrobenie sa dychovej skúške na zistenie prítomnosti alkoholu v dychu čomu vyhovel a dychovou skúškou vykonanou elektronickým meracím prístrojom - analyzátorom dychu typu AlcoQuant 6020 plus, výrobného čísla A-408917, mu v čase o 09.06 hod. dňa 01.01.2022 bola nameraná hodnota 0,84 miligramov etanolu na liter vydýchnutého vzduchu (1,75 promile) a opakovanou skúškou dňa 01.01.2022 o 9.28 hod. hodnota 0,89 miligramov etanolu na liter vydýchnutého vzduchu (1,85 promile)"
99123912,alcohol,0.63,mg/l,0.63 mg/l,breath,,,False,27.02.2022,04:30,Markušovce,,"po ceste III/3244 v smere jazdy z obce Markušovce smerom na obec Rudňany, pri firme SABAR",other,Škoda Fabia,car,hliadkou Obvodného oddelenia PZ Markušovce,bol zastavený a kontrolovaný,traffic_check,valid,,Vozidlo malo evidenčné číslo E. XXXDX.,", ž e  dňa 27. februára 2022, v čase o 04:30 hod. viedol po predchádzajúcom požití alkoholických nápojov osobné motorové vozidlo značky Škoda Fabia, evidenčného čísla E. XXXDX, po ceste III/3244 v smere jazdy z obce Markušovce smerom na obec Rudňany, pričom pri firme SABAR bol zastavený a kontrolovaný hliadkou Obvodného oddelenia PZ Markušovce, ktorou následne vykonanou dychovou skúškou mu bola zistená hodnota 0,63 mg/l alkoholu v dychu,"
95667922,alcohol,0.61,mg/l,0.61 mg/l,breath,10:20,Alcotest 7410,False,07.12.2021,10:15,Topoľčany,24785,"na ceste I/64d, ulica Krušovská v smere jazdy do centra mesta Topoľčany, pred predajňou Autodiely - Autoservis",class_I,Citroen C3,car,PZ Obvodného oddelenia PZ Topoľčany,kontrolovaná hliadkou príslušníkov PZ,traffic_check,valid,,Vozidlo malo evidenčné číslo T0598DM a prístroj Alcotest 7410 mal číslo ARWA - 0350 a číslo merania 0197.,":  ako vodička, po tom, čo požila alkoholické nápoje dňa 07. 12. 2021 v čase o 10:15 h v Topoľčanoch, na ceste I/64d, ulica Krušovská v smere jazdy do centra mesta Topoľčany, viedla osobné motorové vozidlo Citroen C3, evidenčné číslo T0598DM, kde počas jazdy bola v Topo ľčanoch na ulici Krušovskej pred predajňou Autodiely - Autoservis zastavená a kontrolovaná hliadkou príslušníkov PZ Obvodného oddelenia PZ Topo ľčany, pričom bolo vykonanou dychovou skúškou na alkohol v čase o 10:20 h prístrojom Alcotest 7410, číslo ARWA - 0350, číslo merania 0197 zistené, že viedla vozidlo aj napriek tomu, že jej bola nameraná hodnota 0,61 mg/l alkoholu v dychu,"
95703452,alcohol,1.13,mg/l,1.13 mg/l,breath,03:44,,False,01.01.2022,03:35,Poprad,51235,na parkovisku nákupného centra Kaufland na ulici Moyzesovej v Poprade,other,Mazda 6,car,Obvodné oddelenie Policajného zboru v Poprade,"pohybu vozidla zo strany na stranu, používania zvukového výstražného znamenia a defektu na ľavom zadnom kolese",suspected_intoxication,none,,Vozidlo bolo zastavené o 03:36 h. dňa 01.01.2022 za použitia svetelného výstražného znamenia a za pomoci znamenia STOP na služobnom motorovom vozidle.,"dňa 01.01.2022 v čase o 03:35 h. viedla aj napriek tomu, že nie je držiteľkou vodičského oprávnenia v stave vylučujúcom spôsobilosť, ktorý si privodila predchádzajúcim požitím alkoholických nápojov, osobné motorové vozidlo továrenskej značky Mazda 6, evidenčného čísla U., ktorého je vlastníčkou, v meste Poprad, po parkovisku nákupného centra Kaufland na ulici Moyzesovej v Poprade, okres Poprad, v smere od kruhového objazdu pri tomto nákupnom centre, kde bola na uvedenom parkovisku v čase o 03:36 h. dňa 01.01.2022 za použitia svetelného výstražného znamenia a za pomoci znamenia STOP na služobnom motorovom vozidle, z dôvodu pohybu vozidla zo strany na stranu, používania zvukového výstražného znamenia a defektu na ľavom zadnom kolese zastavená a kontrolovaná hliadkou Obvodného oddelenia Policajného zboru v Poprade, počas nasledujúcej kontroly bolo u C. Q. U. zistené predchádzajúce požitie alkoholických nápojov, ktoré zvýšili hladinu etanolu v jej krvi najmenej na 1,13 mg/l zistenú z vydychovaného vzduchu v čase o 03:44 h. dňa 01.01.2022 ,"
