id,text,amountUsed.text.curated,amountUsed.value.curated,amountUsed.position.curated,substanceUsed.text.curated,substanceUsed.value.curated,substanceUsed.position.curated,checkedBy.text.curated,checkedBy.value.curated,checkedBy.position.curated,placeOfOffense.text.curated,placeOfOffense.value.curated,placeOfOffense.position.curated,measuringDevice.text.curated,measuringDevice.value.curated,measuringDevice.position.curated,measuringMethod.text.curated,measuringMethod.value.curated,measuringMethod.position.curated,vehicleModel.text.curated,vehicleModel.value.curated,vehicleModel.position.curated,dateOfOffense.text.curated,dateOfOffense.value.curated,dateOfOffense.position.curated,measuringTime.text.curated,measuringTime.value.curated,measuringTime.position.curated,timeOfOffense.text.curated,timeOfOffense.value.curated,timeOfOffense.position.curated,vehicleType.text.curated,vehicleType.value.curated,vehicleType.position.curated,refusedTesting.text.curated,refusedTesting.value.curated,refusedTesting.position.curated,placeDetails.text.curated,placeDetails.value.curated,placeDetails.position.curated,reasonForCheck.text.curated,reasonForCheck.value.curated,reasonForCheck.position.curated,licenseStatus.text.curated,licenseStatus.value.curated,licenseStatus.position.curated,typeOfRoad.text.curated,typeOfRoad.value.curated,typeOfRoad.position.curated
115726916,"dňa 07.11.2022 v čase o 06:55 hod. v meste V. na ulici S.. V.. Š. po ceste II. triedy č. 532 viedol ako vodič osobné motorové vozidlo značky Škoda Octavia Combi, evidenčného čísla RA595AZ, po tom, čo požil alkoholické nápoje, pričom pred areálom spoločnosti MOSS.SK, s. r. o. Revúca bol zastavený a kontrolovaný hliadkou Okresného riaditeľstva Policajného zboru SR, Okresného dopravného inšpektorátu Revúca, kde vykonanou dychovou skúškou na zistenie prítomnosti alkoholu analyzátorom dychu typu „Dräger Alcotest 7510 classic“ výrobného čísla ARMF-0489 mu dňa 07.11.2022 o 06:56 hod. bolo nameraných 0,74 mg etanolu na liter vydychovaného vzduchu, čo je 1,54 promile,","0,74 mg etanolu na liter",,"(600, 624)",alkoholu,alcohol,"(463, 471)","hliadkou Okresného riaditeľstva Policajného zboru SR, Okresného dopravného inšpektorátu Revúca",,"(312, 406)",V.,,"(43, 45)",Dräger Alcotest 7510 classic,,"(497, 525)",dychovou skúškou,breath,"(422, 438)",Škoda Octavia Combi,,"(141, 160)",07.11.2022,,"(4, 14)",06:56,,"(573, 578)",06:55,,"(24, 29)",osobné motorové vozidlo,car,"(110, 133)",vykonanou,FALSE,"(412, 421)","pred areálom spoločnosti MOSS.SK, s. r. o.",,,zastavený a kontrolovaný,None,"(287, 311)",,,,ceste II. triedy č. 532,class_II,"(69, 92)"
115899900,"v Košiciach na ul. G. v smere od ul. F. E., dňa 1.11.2022 v čase okolo 02:37 hod. v stave vylučujúcom spôsobilosť viedol osobné motorové vozidlo zn. L. A., EVČ: L. XXXG., kde bol zastavený a kontrolovaný hliadkou Mestskej polície Košice a následne hliadkou OOPZ Košice - Západ, pričom bol podrobený dychovej skúške na určenie objemového percenta alkoholu v dychu prístrojom AlcoQuat 6020 plus, výrobné číslo A408921, pri ktorej mu bola nameraná pozitívna hodnota 0.58 mg/l,",0.58 mg/l,,"(463, 472)",alkoholu,alcohol,"(346, 354)",hliadkou Mestskej polície Košice; hliadkou OOPZ Košice - Západ,,"(204, 236); (248, 276)",Košiciach,,"(2, 11)",AlcoQuat 6020 plus,,"(374, 392)",dychu,breath,"(357, 362)",L.; A.,,"(149, 151); (152, 154)",1.11.2022,,"(48, 57)",,,,02:37,,"(71, 76)",osobné motorové vozidlo,car,"(121, 144)",,,,,,,,,,,,,,,
115444656,"dňa 31.10.2022 v čase o 01:30 hod. po predchádzajúcom požití alkoholických nápojov, bez dokladov potrebných k vedeniu a prevádzke motorového vozidla viedla osobné motorové vozidlo zn. Volkswagen Passat, ev. č. E. XXX C. po ulici Pionierska v Rajeckých Tepliciach, v smere jazdy od ulice Školskej ovplyvnená alkoholom v čase o 01:34 hod. vo výške 1,35 mg etanolu na liter vydychovaného vzduchu (čo predstavuje 2,81 promile), opakovanou dychovou skúškou jej bola v čase o 02:04 nameraná hodnota vo výške 1,45 mg etanolu na liter vydychovaného vzduchu (čo predstavuje 3,02 promile) a v čase o 03:10 hod. vo výške 1,20 mg etanolu na litere vydychovaného vzduchu (čo predstavuje 2,50 promile), pričom svojím konaním porušila ust. §4 ods. 1 písm. b); § 4 ods. 2 písm. d) Zákona č. 8/2009 Z.z. o cestnej premávke,","1,35 mg etanolu na liter; 1,45 mg etanolu na liter; 1,20 mg etanolu na litere",,"(346, 370); (502, 526); (610, 635)",alkoholom,alcohol,"(307, 316)",,,,Rajeckých Tepliciach,,"(242, 262)",,,,dychovou skúškou,breath,,"Volkswagen
Passat",,"(184, 201)",31.10.2022,,"(4, 14)",01:34; 03:10,,"(326, 331); (590, 595)",01:30,,"(24, 29)",osobné motorové vozidlo,car,"(156, 179)",,,,,,,,,,bez dokladov,none,,,,
115425733,", ž e - dňa 26. októbra 2022 po predchádzajúcom požití alkoholických nápojov viedol ako vodič motocykel značky Defender, bez evidenčného čísla v obci Tomášovce po ulici Poľná v smere na Ulicu SNP, kde bol pred rodinným domom číslo XXX v čase o 09:55 hodine zastavený a kontrolovaný hliadkou OR PZ ODI v Lučenci a počas kontroly bol vyzvaný, aby sa podrobil dychovej skúške na zistenie prítomnosti alkoholu v jeho dychu, čo po riadnom poučení vykonal a elektronickým prístrojom AlcoQuant 6020plus, evidenčného čísla A409594 mu bola dňa 26. októbra 2022 v čase o 10,00 hodine nameraná hodnota 1,15 miligramu na liter vydychovaného etanolu v dychu,","1,15 miligramu na liter",,"(592, 615)",alkoholických nápojov; etanolu,alcohol; alcohol,"(56, 77); (630, 637)",hliadkou OR PZ ODI v Lučenci,,"(283, 311)",Tomášovce,,"(151, 160)",AlcoQuant 6020plus,,"(478, 496)",dychovej skúške,breath,"(358, 373)",Defender,,"(112, 120)",26. októbra 2022,,"(13, 29)","10,00",,"(562, 567)",,,,motocykel,motorcycle,"(95, 104)",,,,po ulici Poľná v smere na Ulicu SNP,,,,,,,,,,,
115903988,", že dňa 24. 8. 2022 v čase o 2.35 hod. viedol motocykel značky KTM, KTM 390 Duke, evidenčné číslo KK 237CJ, bielej farby, z obce Pavčina Lehota smerom do obce Demänovská Dolina, kde bol pred objektom Koliba Tri Studničky u Tomášovcov, Demänovská Dolina 5, okres Liptovský Mikuláš, zastavený hliadkou Obvodného oddelenia Policajného zboru Liptovský Mikuláš a následne bol podrobený dychovej skúške analyzátorom dychu značky AlcoQuant 6020 plus, číslo A409127, ktorou v čase o 2.40 hod. mu bola nameraná hodnota 0,73 mg/l alkoholu v dychu, čo je v prepočte 1,52 promile,","0,73 mg/l",,"(512, 521)",alkoholu,alcohol,"(522, 530)",hliadkou Obvodného oddelenia Policajného zboru Liptovský Mikuláš,,"(293, 357)",Pavčina Lehota,,"(131, 145)",AlcoQuant 6020 plus,,"(425, 444)",dychovej skúške,breath,"(383, 398)",KTM 390 Duke,,,24. 8. 2022,,"(10, 21)",2.40,,"(477, 481)",2.35,,"(31, 35)",motocykel,motorcycle,"(48, 57)",,,,,,,,,,,,,,,
116676090,"dňa XX.XX.XXXX v čase o XX:XX V.. po predchádzajúcom požití alkoholických nápojov viedol osobné motorové vozidlo značky K. L. ev. č.: O., po ulici H.. L. P. T., kde bol príslušníkmi OO PZ T.-P. pri bytovom dome č. XX, zastavený a okrem iného vyzvaný k podrobeniu sa dychovej skúške na zistenie prítomnosti alkoholu vo vydychovanom vzduch prístrojom H. XXXX, výrobné číslo H. XXXX, čo i vykonal a v dychu obvineného bola zistená prítomnosť alkoholu v čase o XX:XX hod. v objeme 0,86 mg/l (1,79 ‰) a v čase o 20:25 hod. v objeme 0,81 mg/l (1,69 ‰),","0,86 mg/l; 0,81 mg/l",,"(477, 486); (527, 536)",alkoholických nápojov; alkoholu,alcohol; alcohol,"(60, 81); (439, 447)",OO PZ T; -P,,"(182, 189); (190, 192)","L.; P.; T.,",,"(151, 153); (154, 156); (157, 160)",H.; XXXX,,"(349, 351); (352, 356)",dychovej skúške,breath,"(266, 281)",K.; L.,,"(120, 122); (123, 125)",XX.XX.XXXX,,"(4, 14)",XX:XX; 20:25,,"(457, 462); (507, 512)",XX:XX,,"(24, 29)","osobné
motorové vozidlo",car,"(89, 112)",vykonal,FALSE,"(386, 393)","ulici H; bytovom
dome č; XX",,"(141, 148); (198, 212); (214, 216)",,,,,,,,,
115403246,"dňa 24.10.2022 v čase o 14.20 h v meste Q. okr. Q. po predchádzajúcom požití alkoholických nápojov, viedla ako vodička osobné motorové vozidlo továrenskej značky M. N., Y.. Č..: Q., L.. G., v meste Q. po ulici J. C. v smere od U. E. smerom na Q. D., kde bola pri firme E. E. zákonným spôsobom zastavená a kontrolovaná hliadkou Oddelenia železničnej Polície Zvolen, pričom pri kontrole bola poučená a vyzvaná, aby sa podrobila dychovej skúške analyzátorom dychu AlcoQuant 6020 plus, evidenčné číslo A409058, ktorým sa určí objemové percento alkoholu v dychu, ktorú neodmietla a tejto sa dobrovoľne podrobila a dychovou skúškou jej bola dňa 24.10.2022 v čase o 14.24 h zistená hodnota 0,67 mg etanolu na liter vydychovaného vzduchu a opakovanou dychovou skúškou dňa 24.10.2022 v čase o 15.02 h vykonanou tým istým prístrojom jej bola zistená hodnota 0,57 mg etanolu na liter vydychovaného vzduchu","0,67 mg etanolu na liter; 0,57 mg etanolu na liter",,"(683, 707); (848, 872)",etanolu; etanolu,alcohol; alcohol,,hliadkou Oddelenia železničnej Polície Zvolen,,"(318, 363)",Q,,"(40, 41)",AlcoQuant 6020 plus,,"(461, 480)",,,,M.; N.; Y..,,"(162, 164); (165, 167); (169, 172)",24.10.2022,,"(4, 14)",14.24; 15.02,,"(659, 664); (784, 789)",14:20,,,osobné motorové vozidlo,car,"(119, 142)",dobrovoľne,FALSE,,pri firme E. E.,,,,,,,,,,,
115468395,"dňa XX. XX. XXXX v čase o XX.XX hod. viedol ako vodič osobné motorové vozidlo zn. BMW ev. č. T. po ceste I. triedy č. XX po ul. Š. v meste C., kde bol predpísaným spôsobom zastavovaný, pričom na tieto výzvy vôbec nereagoval, naopak zrýchlil a v jazde pokračoval ďalej až na ul. R., kde pred rodinným domom č. 271/2 vozidlo zastavil, vyskočil z vozidla a začal utekať preč, pričom bol následne hliadkou OO PZ v Tornali spacifikovaný a pri služobnom zákroku bol použitý varovný výstrel do vzduchu, donucovacie prostriedky hmaty, chmaty a služobné putá a pri kontrole sa na výzvu policajta dňa XX. XX. XXXX v čase o XX.XX hod. odmietol podrobiť dychovej skúške na zistenie, či nie je ovplyvnený návykovou látkou analyzátorom dychu AlcoQuant 6020 plus výr. č. A409739 a taktiež sa odmietol podrobiť lekárskemu vyšetreniu odberom a vyšetrením krvi alebo iného biologického materiálu, hoci by to pri vyšetrení nebolo spojené s nebezpečenstvom pre jeho zdravie, následne pred umiestnením do cely policajného zaistenia zriadenej na OO PZ v Revúcej bol dňa XX. XX. XXXX v čase o XX.XX hod. podrobený dyhovej skúške analyzátorom dychu AlcoQuant 6020 plus výr. č. A408962, ktorým mu bola nameraná hodnota 0,71 miligramu etanolu na liter vydychovaného vzduchu, čo je pozitívny výsledok,","0,71 miligramu etanolu na liter",,"(1194, 1225)",,,,hliadkou OO PZ v Tornali,,"(393, 417)",C.,,"(139, 141)",AlcoQuant 6020,,"(728, 742)",dychovej; krvi; iného biologického materiálu,breath; blood; other,"(642, 650); (838, 842); (849, 877)",BMW,,"(82, 85)",XX.; XX.; XXXX,,"(4, 7); (8, 11); (12, 16)",XX.XX,,"(613, 618)",XX.XX,,"(26, 31)",osobné motorové vozidlo,car,"(54, 77)",odmietol; sa odmietol podrobiť,True; True,"(624, 632); (774, 794)",,,,predpísaným spôsobom zastavovaný,traffic_check,"(151, 183)",,,,I. triedy,None,"(105, 114)"
116612890,": ako vodič bez vodičského oprávnenia po tom, čo požil alkoholické nápoje viedol dňa 30.10.2022 v čase o 19:19 h v obci Preseľany na ceste I/64, viedol osobné motorové vozidlo továrenskej značky Škoda Octavia, evidenčného čísla NR-XXXKR. kde počas jazdy bol v obci L. na ceste I/64 pred pizzeriou H. zastavený a kontrolovaný hliadkou ODI OR PZ Topoľčany, pričom vykonanou dychovou skúškou do prístroja Drager 7510, číslo H.-XXXX, číslo merania XXXX mu bola v čase o 19:19 h nameraná hodnota 1,02 miligramu etanolu na liter vydýchnutého vzduchu,","1,02 miligramu na liter",,,alkoholické,alcohol,"(55, 66)",hliadkou ODI OR PZ Topoľčany,,"(325, 353)",Preseľany,,"(120, 129)",Drager 7510,,"(402, 413)",dychovou,breath,"(372, 380)","Škoda
Octavia",,"(195, 208)",30.10.2022,,"(85, 95)",19:19,,,19:19,,"(105, 110)",osobné motorové vozidlo,car,"(152, 175)",,,,pizzeriou H,,"(287, 298)",kontrolovaný,traffic_check,"(312, 324)",,,,ceste I/64,class_I,"(133, 143)"
115698035,", ž e - dňa 17.12.2021 v čase približne o 19:00 hod. viedol ako vodič motorové vozidlo zn. C. S., ev. č. S. po ceste II/519 v smere od obce Slovenské Pravno do obce Rudno, kde pri kilometrovníku 13,0 zišiel s vozidlom mimo cestu vľavo, pričom z miesta odišiel a následne, keď sa k motorovému vozidlu zn. C. S., ev. č. S. vrátil, bol po riadnom poučení vyzvaný, aby sa podrobil dychovej skúške na zistenie požitia alkoholu do elektronického prístroja Alcotest 7510, výrobné číslo ARMF-0427, kde metódou merania etanolu vo vydychovanom vzduchu mu bola dňa 17.12.2021 v čase o 20:47 hod. nameraná hodnota 1,07 mg/l alkoholu vo vydychovanom vzduchu, čo v prepočte predstavuje 2,23 ‰, opakovanou dychovou skúškou dňa 17.12.2021 v čase o 21:03 hod. nameraná hodnota 1,10 mg/1 alkoholu vo vydychovanom vzduchu, čo v prepočte predstavuje 2,29 ‰ a ďalšou opakovanou dychovou skúškou dňa 17.12.2021 v čase o 21:19 hod. nameraná hodnota 1,01 mg/l alkoholu vo vydychovanom vzduchu, čo v prepočte predstavuje 2,10 ‰, pričom na základe odborného vyjadrenia znalca prof. MUDr. Ľ. X., PhD. zo dňa 30.12.2021 vyplýva, že koncentrácia alkoholu v krvi obvineného bola dňa 17.12.2021 v čase o 19:00 hod. minimálne vo výške 1,33 až 1,48 ‰,","1,07 mg/l; 1,10 mg/1; 21:19; 1,01 mg/l",,"(602, 611); (760, 769); (898, 903); (926, 935)",alkoholu; alkoholu,alcohol; alcohol,,,,,od obce Slovenské Pravno do obce Rudno,,"(132, 170)",Alcotest 7510,,"(450, 463)",dychovej skúške,breath,"(377, 392)",C.; S.,,"(304, 306); (307, 309)",17.12.2021; 17.12.2021,,"(12, 22); (12, 22)",20:47; 21:03,,"(574, 579); (732, 737)",19:00,,"(42, 47)",,,,,,,,,,"zišiel
s vozidlom mimo cestu vľavo",other,"(200, 234)",,,,ceste II/519,class_II,"(111, 123)"
